113.007790833333	37.9926133333333	3769.33	219	SW3-经纬度	-0.808155203193346	2.84216026028572E-05	
113.007203888889	37.9932436111111	3770.27	306	SW5-经纬度	0.293008973119592	-1.10657650884552	
113.007206944444	37.9932536111111	3769.68	310	SW5	-0.813567535725924	-0.000374133673851307	
113.007009166667	37.9934402777778	3769.72	337	1G	-0.813941667005902	2.02158417783593E-08	
113.000354722222	37.9997261111111	3770.85	1259	X2	0	0	
113.0094625	37.9910338888889	0	92.507	XJG	-0.853248022078687	0.0431780150125528	
113.009388333333	37.9910986111111	3770	0	3G	-0.810070007066134	-0.00228528254577831	
113.008578611111	37.9918663888889	3770	111	4G	-0.812355289611913	0.00228528271678496	
113.007790833333	37.9926133333333	3770	219	SW3	-0.812355289611913	3.23977400462638E-10	
113	38	3770	1287	XIII	0	0	
113.008578611111	37.9918663888889	3770	111	4G	-0.839308974685023	0.000387839698969827	
113.007743333333	37.9925911111111	3770	219	5G	-0.823653768506901	0.000352901150041829	
112.9997325	38.0001411111111	3770	1308	X4	0	0	
113.009388611111	37.9910986111111	1158	0	X信号机real	-0.812355289287935	0.00032627194976198	
113.008578611111	37.9918663888889	1158	111	SW1	-0.838955622550317	0.0277330915535411	
113.008556111111	37.9918866666667	1158	114	SW1	-0.811222530996776	0.00283451910567545	
113.007790833333	37.9926133333333	1158	219	SW3	-0.808388011891101	-0.00375741776304328	
113.007769166667	37.9926341666667	1158	222	SW3	-0.812145429654144	-0.000209859786802213	
113.007068611111	37.9932980555556	1158	318	S3	-0.812355289440946	0.000335000591272117	
113.007046666667	37.9933188888889	1158	321	S3	-0.812020288849674	-0.000335000438261068	
113.000021944444	37.9999791666667	1158	1284	X3信号机	-0.812355289287935	3.13600710695193	
113	38	1158	1287	X3信号机	2.323651817664	-3.13852202530871	
113.007975555556	37.9925275	1158	501	2G	-0.814870207644715	0.0010185853616429	
113.007953611111	37.9925480555556	1158	504	2G	-0.813851622283072	-0.000777978257404777	
113.007228888889	37.9932327777778	1158	603	SW5	-0.814629600540477	0.0011357874851835	
113.007206666667	37.9932536111111	1158	310	SW5	-0.813493813055293	0.000897855154910254	
113.007141111111	37.9933158333333	1158	319	SW7	-0.814870207473715	0.00091467731121786	
113.007118888889	37.9933363888889	1158	322	SW7	-0.813955530162497	0.00160024072155085	
113.006745555556	37.9936891666667	1158	374	S2	-0.812355289440946	-0.00153270070372891	
113.006723611111	37.99371	1158	377	S2	-0.813887990144675	-0.000741610547301486	
113.000376666667	37.9997052777778	1158	1255	X2	-0.814629600691977	3.15329259840706	
113.000354722222	37.9997261111111	1158	1259	X2real	2.33866299771508	-3.16089645982075	
113.007401388889	37.9928952777778	1158	261	S4	-0.858851104181613	0.0452206051775939	
113.007377222222	37.9929161111111	1158	264	S4Real	-0.813630499004019	0.0040416123173157	
112.999754166667	38.0001202777778	1158	1305	X4	-0.809588886686704	0.809588886686704	
112.9997325	38.0001411111111	1158	1308	X4Real	0	0	
