Id,OverlayName,StationName,TypeName,KiloPos,TrackName,Longtitude,Latitude,Height,Bear,DeltaBear,Tag
1,UnKnown,2G.txt,,219,2G.txt,113.007790833333,37.9926133333333,3769.33,-0.808155203193346,2.84216026028572E-05
30,UnKnown,2G.txt,,306,2G.txt,113.007203888889,37.9932436111111,3770.27,0.293008973119592,-1.10657650884552
31,UnKnown,2G.txt,,310,2G.txt,113.007206944444,37.9932536111111,3769.68,-0.813567535725924,-0.000374133673851307
40,UnKnown,2G.txt,,337,2G.txt,113.007009166667,37.9934402777778,3769.72,-0.813941667005902,2.02158417783593E-08
343,UnKnown,2G.txt,,1259,2G.txt,113.000354722222,37.9997261111111,3770.85,0,0
1953,UnKnown,3G.txt,,92.507,3G.txt,113.0094625,37.9910338888889,0,-0.853248022078687,0.0431780150125528
1954,UnKnown,3G.txt,,0,3G.txt,113.009388333333,37.9910986111111,3770,-0.810070007066134,-0.00228528254577831
1991,UnKnown,3G.txt,,111,3G.txt,113.008578611111,37.9918663888889,3770,-0.812355289611913,0.00228528271678496
2027,UnKnown,3G.txt,,219,3G.txt,113.007790833333,37.9926133333333,3770,-0.812355289611913,3.23977400462638E-10
2383,UnKnown,3G.txt,,1287,3G.txt,113,38,3770,0,0
1,UnKnown,4G.txt,,111,4G.txt,113.008578611111,37.9918663888889,3770,-0.839308974685023,0.000387839698969827
37,UnKnown,4G.txt,,219,4G.txt,113.007743333333,37.9925911111111,3770,-0.823653768506901,0.000352901150041829
400,UnKnown,4G.txt,,1308,4G.txt,112.9997325,38.0001411111111,3770,0,0
1,UnKnown,绝缘节.txt,,0,绝缘节.txt,113.009388611111,37.9910986111111,1158,-0.812355289287935,0.00032627194976198
5,UnKnown,绝缘节.txt,,111,绝缘节.txt,113.008578611111,37.9918663888889,1158,-0.838955622550317,0.0277330915535411
6,UnKnown,绝缘节.txt,,114,绝缘节.txt,113.008556111111,37.9918866666667,1158,-0.811222530996776,0.00283451910567545
7,UnKnown,绝缘节.txt,,219,绝缘节.txt,113.007790833333,37.9926133333333,1158,-0.808388011891101,-0.00375741776304328
8,UnKnown,绝缘节.txt,,222,绝缘节.txt,113.007769166667,37.9926341666667,1158,-0.812145429654144,-0.000209859786802213
9,UnKnown,绝缘节.txt,,318,绝缘节.txt,113.007068611111,37.9932980555556,1158,-0.812355289440946,0.000335000591272117
10,UnKnown,绝缘节.txt,,321,绝缘节.txt,113.007046666667,37.9933188888889,1158,-0.812020288849674,-0.000335000438261068
11,UnKnown,绝缘节.txt,,1284,绝缘节.txt,113.000021944444,37.9999791666667,1158,-0.812355289287935,3.13600710695193
12,UnKnown,绝缘节.txt,,1287,绝缘节.txt,113,38,1158,2.323651817664,-3.13852202530871
13,UnKnown,绝缘节.txt,,501,绝缘节.txt,113.007975555556,37.9925275,1158,-0.814870207644715,0.0010185853616429
14,UnKnown,绝缘节.txt,,504,绝缘节.txt,113.007953611111,37.9925480555556,1158,-0.813851622283072,-0.000777978257404777
15,UnKnown,绝缘节.txt,,603,绝缘节.txt,113.007228888889,37.9932327777778,1158,-0.814629600540477,0.0011357874851835
16,UnKnown,绝缘节.txt,,310,绝缘节.txt,113.007206666667,37.9932536111111,1158,-0.813493813055293,0.000897855154910254
19,UnKnown,绝缘节.txt,,319,绝缘节.txt,113.007141111111,37.9933158333333,1158,-0.814870207473715,0.00091467731121786
20,UnKnown,绝缘节.txt,,322,绝缘节.txt,113.007118888889,37.9933363888889,1158,-0.813955530162497,0.00160024072155085
21,UnKnown,绝缘节.txt,,374,绝缘节.txt,113.006745555556,37.9936891666667,1158,-0.812355289440946,-0.00153270070372891
22,UnKnown,绝缘节.txt,,377,绝缘节.txt,113.006723611111,37.99371,1158,-0.813887990144675,-0.000741610547301486
23,UnKnown,绝缘节.txt,,1255,绝缘节.txt,113.000376666667,37.9997052777778,1158,-0.814629600691977,3.15329259840706
24,UnKnown,绝缘节.txt,,1259,绝缘节.txt,113.000354722222,37.9997261111111,1158,2.33866299771508,-3.16089645982075
27,UnKnown,绝缘节.txt,,261,绝缘节.txt,113.007401388889,37.9928952777778,1158,-0.858851104181613,0.0452206051775939
28,UnKnown,绝缘节.txt,,264,绝缘节.txt,113.007377222222,37.9929161111111,1158,-0.813630499004019,0.0040416123173157
29,UnKnown,绝缘节.txt,,1305,绝缘节.txt,112.999754166667,38.0001202777778,1158,-0.809588886686704,0.809588886686704
30,UnKnown,绝缘节.txt,,1308,绝缘节.txt,112.9997325,38.0001411111111,1158,0,0
