lon,lat,E,N,chainage1,chainage2,deltaE,deltaN,heading1,heading_medfilt,heading_movmean,piecenum,rad_heading_movmean,rad_delta_heading
113.08256,37.96592,-8853.39,16582.34,83.45,18937.02,-9.69,10.23,316.5562,316.496,316.4935,24,5.52385408,-0.00034798
113.08245,37.96601,-8863.07,16592.56,83.46,18951.11,-9.72,10.24,316.496,316.4846,316.4736,24,5.5235061,-0.00029917
113.08234,37.96611,-8872.8,16602.81,83.48,18965.23,-9.76,10.27,316.4723,316.4723,316.4564,24,5.52320693,-0.00037214
113.08224,37.9662,-8882.55,16613.08,83.49,18979.4,-9.8,10.29,316.3894,316.4191,316.4351,24,5.52283479,-0.00037812
113.08213,37.9663,-8892.36,16623.37,83.51,18993.61,-9.83,10.33,316.4103,316.4103,316.4135,24,5.52245667,-0.00033487
113.08202,37.96639,-8902.19,16633.69,83.52,19007.86,-9.86,10.36,316.4191,316.3894,316.3943,24,5.5221218,-0.00014923
113.08191,37.96649,-8912.04,16644.05,83.54,19022.16,-9.94,10.38,316.2226,316.3763,316.3857,24,5.52197257,4.971e-05
113.0818,37.96658,-8921.99,16654.43,83.55,19036.53,-9.97,10.45,316.3508,316.3763,316.3886,24,5.52202228,0.00035386
113.08169,37.96668,-8931.96,16664.88,83.57,19050.98,-10.02,10.51,316.3763,316.3763,316.4088,24,5.52237614,0.00039939
113.08158,37.96678,-8941.98,16675.39,83.58,19065.5,-10.05,10.58,316.4907,316.4245,316.4317,24,5.52277553,0.00016821
113.08146,37.96687,-8952.02,16685.98,83.6,19080.09,-10.12,10.63,316.4245,316.4907,316.4414,24,5.52294374,0.00047635
113.08135,37.96697,-8962.14,16696.61,83.61,19094.77,-10.15,10.75,316.6473,316.4907,316.4687,24,5.52342009,0.00030814
113.08124,37.96707,-8972.29,16707.36,83.63,19109.55,-10.23,10.78,316.5128,316.4245,316.4863,24,5.52372823,0.00023795
113.08113,37.96717,-8982.51,16718.14,83.64,19124.41,-10.35,10.87,316.407,316.5128,316.4999,24,5.52396618,0.00217936
113.08101,37.96727,-8992.86,16729.01,83.66,19139.42,-10.41,10.94,316.4018,316.5128,316.6248,24,5.52614554,0.00452962
113.08089,37.96737,-9003.28,16739.95,83.67,19154.52,-10.47,11.05,316.5589,316.5589,316.8843,24,5.53067516,0.00683724
113.08078,37.96747,-9013.74,16751,83.69,19169.75,-10.42,11.22,317.1151,317.1151,317.2761,24,5.5375124,0.00888913
113.08066,37.96757,-9024.17,16762.22,83.7,19185.06,-10.36,11.4,317.7222,317.7222,317.7854,25,5.54640153,0.01000213
113.08055,37.96768,-9034.53,16773.62,83.72,19200.46,-10.27,11.6,318.4715,318.4715,318.3585,25,5.55640366,0.00806073
113.08043,37.96779,-9044.8,16785.21,83.73,19215.95,-10.22,11.78,319.0593,319.0593,318.8203,25,5.56446439,0.00594164
113.08032,37.96789,-9055.02,16797,83.75,19231.55,-10.2,11.95,319.5236,319.4243,319.1608,25,5.57040603,0.00154778
113.08021,37.968,-9065.22,16808.95,83.76,19247.27,-10.25,12.04,319.584,319.4243,319.2494,25,5.57195381,-0.00373705
113.08009,37.96811,-9075.47,16820.99,83.78,19263.08,-10.37,12.11,319.4243,319.4243,319.0353,25,5.56821676,-0.0085717
113.07998,37.96822,-9085.84,16833.1,83.79,19279.02,-10.54,12.08,318.9149,318.9149,318.5442,26,5.55964506,-0.01328915
113.07986,37.96834,-9096.38,16845.18,83.81,19295.05,-10.75,11.94,317.9888,317.9888,317.7828,26,5.54635591,-0.0188712
113.07974,37.96845,-9107.13,16857.12,83.82,19311.12,-10.95,11.73,316.9687,316.9687,316.7015,26,5.52748471,-0.02382477
113.07962,37.96855,-9118.08,16868.85,83.84,19327.17,-11.15,11.4,315.6172,315.6172,315.3365,26,5.50365994,-0.02670812
