lon,lat,E,N,chainage1,chainage2,deltaE,deltaN,heading1,heading_medfilt,heading_movmean,piecenum,rad_heading_movmean,rad_delta_heading
113.17887,37.81474,0,0,63.32,0,-4.42,13.81,342.2576,341.6804,341.5295,1,5.96081359,0
113.17883,37.81487,-4.42,13.81,63.33,14.5,-4.48,13.83,342.0506,341.6804,341.5295,1,5.96081359,0
113.17878,37.81499,-8.9,27.64,63.35,29.03,-4.58,13.82,341.6804,341.6804,341.5295,1,5.96081359,-0.00285656
113.17873,37.81512,-13.47,41.46,63.36,43.6,-4.64,13.81,341.4358,341.4358,341.3658,1,5.95795703,-0.00387734
113.17868,37.81524,-18.11,55.27,63.38,58.16,-4.71,13.81,341.1703,341.1703,341.1436,1,5.95407969,-0.00512714
113.17863,37.81537,-22.82,69.08,63.39,72.75,-4.79,13.8,340.862,340.862,340.8499,1,5.94895255,-0.00510207
113.17858,37.8155,-27.61,82.87,63.41,87.36,-4.86,13.77,340.5696,340.5696,340.5575,1,5.94385048,-0.00534367
113.17853,37.81562,-32.47,96.64,63.42,101.96,-4.94,13.74,340.2116,340.2116,340.2514,2,5.93850681,-0.00516221
113.17848,37.81575,-37.41,110.39,63.44,116.56,-5.01,13.74,339.9742,339.9742,339.9556,2,5.9333446,-0.00510387
113.17842,37.81587,-42.42,124.12,63.45,131.18,-5.09,13.73,339.6395,339.6395,339.6632,2,5.92824073,-0.0047327
113.17837,37.81599,-47.51,137.85,63.47,145.82,-5.16,13.7,339.3832,339.3832,339.392,2,5.92350803,-0.0051364
113.17831,37.81612,-52.67,151.55,63.48,160.46,-5.23,13.69,339.1075,339.1075,339.0977,2,5.91837163,-0.00505979
113.17826,37.81624,-57.89,165.24,63.5,175.12,-5.29,13.67,338.8557,338.8557,338.8078,2,5.91331184,-0.00471038
113.1782,37.81637,-63.18,178.91,63.51,189.77,-5.37,13.64,338.5027,338.5027,338.5379,3,5.90860146,-0.00459616
113.17815,37.81649,-68.55,192.55,63.53,204.44,-5.45,13.63,338.19,338.19,338.2746,3,5.9040053,-0.00450489
113.17809,37.81662,-74,206.18,63.54,219.11,-5.5,13.63,338.0337,338.0337,338.0165,3,5.89950041,-0.00453437
113.17803,37.81674,-79.5,219.81,63.56,233.81,-5.56,13.61,337.7908,337.7908,337.7567,3,5.89496604,-0.0044307
113.17797,37.81686,-85.06,233.42,63.57,248.51,-5.62,13.61,337.5652,337.5652,337.5028,3,5.89053534,-0.00475531
113.17791,37.81699,-90.68,247.03,63.59,263.24,-5.71,13.58,337.2037,337.2037,337.2304,3,5.88578003,-0.00516999
113.17785,37.81711,-96.39,260.61,63.6,277.97,-5.79,13.58,336.9207,336.9207,336.9341,3,5.88061004,-0.00549989
113.17779,37.81723,-102.17,274.19,63.62,292.73,-5.85,13.56,336.6715,336.6715,336.619,3,5.87511015,-0.00481529
113.17772,37.81736,-108.02,287.75,63.63,307.49,-5.93,13.53,336.3097,336.3097,336.3431,3,5.87029486,-0.00494036
113.17766,37.81748,-113.96,301.28,63.65,322.26,-6.02,13.52,335.9896,335.9896,336.0601,3,5.8653545,-0.00477219
113.17759,37.8176,-119.98,314.8,63.66,337.07,-6.07,13.51,335.8242,335.8242,335.7866,3,5.86058231,-0.00395649
113.17753,37.81773,-126.04,328.31,63.68,351.88,-6.15,13.49,335.5053,335.5053,335.5599,3,5.85662582,-0.00330339
113.17746,37.81785,-132.19,341.8,63.69,366.7,-6.2,13.48,335.3043,335.3043,335.3707,3,5.85332243,-0.00279244
113.1774,37.81797,-138.39,355.28,63.71,381.54,-6.23,13.47,335.1762,335.1762,335.2107,3,5.85052999,-0.00167926
113.17733,37.81809,-144.62,368.75,63.72,396.38,-6.27,13.46,335.0243,335.0432,335.1145,3,5.84885073,-0.0011285
113.17726,37.81822,-150.89,382.21,63.74,411.23,-6.27,13.47,335.0432,335.0243,335.0498,3,5.84772223,-0.00075951
113.17719,37.81834,-157.16,395.68,63.75,426.08,-6.29,13.47,334.9586,335.0243,335.0063,3,5.84696272,-0.00030134
113.17713,37.81846,-163.45,409.15,63.77,440.95,-6.29,13.49,334.981,334.981,334.989,4,5.84666138,-0.00023518
113.17706,37.81859,-169.75,422.64,63.78,455.84,-6.28,13.51,335.0723,334.9586,334.9755,4,5.8464262,-0.00026528
113.17699,37.81871,-176.02,436.14,63.8,470.73,-6.31,13.51,334.9569,334.9569,334.9603,4,5.84616092,-0.00011432
113.17692,37.81883,-182.34,449.66,63.81,485.64,-6.34,13.53,334.8985,334.9569,334.9538,4,5.8460466,3.099e-05
113.17685,37.81895,-188.68,463.19,63.83,500.59,-6.33,13.55,334.9483,334.9483,334.9556,4,5.84607759,0.0001631
113.17678,37.81908,-195.01,476.73,63.84,515.54,-6.31,13.57,335.0443,334.9483,334.9649,4,5.84624069,0.0001631
113.17672,37.8192,-201.32,490.3,63.86,530.51,-6.34,13.56,334.9364,334.9675,334.9743,5,5.84640379,0.0001932
113.17665,37.81932,-207.66,503.86,63.87,545.47,-6.32,13.57,335.0101,335.0036,334.9853,5,5.84659699,0.00014028
113.17658,37.81945,-213.98,517.43,63.89,560.44,-6.32,13.54,334.9675,335.0036,334.9934,5,5.84673727,7.343e-05
113.17651,37.81957,-220.31,530.96,63.9,575.38,-6.31,13.54,335.0036,335.0036,334.9976,5,5.8468107,-5.268e-05
113.17644,37.81969,-226.62,544.51,63.92,590.32,-6.31,13.54,335.0054,334.9885,334.9946,5,5.84675802,-5.267e-05
113.17638,37.81982,-232.93,558.05,63.93,605.27,-6.32,13.54,334.9677,334.9885,334.9915,5,5.84670535,-4.048e-05
113.17631,37.81994,-239.26,571.59,63.95,620.21,-6.31,13.53,334.9885,334.9885,334.9892,5,5.84666487,1.246e-05
113.17624,37.82006,-245.57,585.12,63.96,635.14,-6.31,13.53,334.9885,334.9885,334.9899,5,5.84667733,1.219e-05
113.17617,37.82019,-251.88,598.65,63.98,650.07,-6.31,13.53,334.992,334.992,334.9906,5,5.84668952,1.03e-06
113.1761,37.82031,-258.2,612.18,63.99,665.01,-6.31,13.54,334.9989,334.992,334.9907,5,5.84669055,-2.235e-05
113.17604,37.82043,-264.51,625.72,64.01,679.94,-6.31,13.54,334.9939,334.992,334.9894,5,5.8466682,-0.00012372
113.17597,37.82056,-270.82,639.26,64.02,694.88,-6.31,13.53,334.9888,334.9888,334.9823,5,5.84654448,-0.00012373
113.1759,37.82068,-277.14,652.79,64.04,709.81,-6.32,13.52,334.9374,334.9821,334.9752,5,5.84642075,-0.00012372
113.17583,37.8208,-283.46,666.31,64.05,724.73,-6.31,13.53,334.9821,334.9566,334.9681,5,5.84629703,-0.00011255
113.17576,37.82093,-289.77,679.83,64.07,739.66,-6.31,13.5,334.9462,334.9566,334.9617,6,5.84618448,-3.295e-05
113.17569,37.82105,-296.08,693.34,64.08,754.57,-6.31,13.51,334.9566,334.9566,334.9598,6,5.84615153,5.624e-05
113.17563,37.82117,-302.4,706.85,64.1,769.48,-6.3,13.51,334.9911,334.9566,334.963,6,5.84620777,5.624e-05
113.17556,37.8213,-308.7,720.36,64.11,784.39,-6.3,13.48,334.9448,334.9727,334.9663,6,5.84626401,5.624e-05
113.17549,37.82142,-315,733.84,64.13,799.28,-6.29,13.48,334.995,334.9727,334.9695,6,5.84632025,5.049e-05
113.17542,37.82154,-321.29,747.32,64.14,814.14,-6.28,13.46,334.9727,334.9727,334.9724,6,5.84637074,-8.185e-05
113.17535,37.82166,-327.57,760.78,64.16,829,-6.28,13.46,334.9711,334.9727,334.9677,6,5.84628889,-0.00012392
113.17529,37.82179,-333.86,774.24,64.17,843.86,-6.26,13.45,335.0404,334.9711,334.9606,6,5.84616497,-0.00012392
113.17522,37.82191,-340.12,787.69,64.19,858.69,-6.28,13.42,334.9334,334.9492,334.9535,6,5.84604105,-8.185e-05
113.17515,37.82203,-346.39,801.1,64.2,873.5,-6.27,13.4,334.9161,334.9372,334.9488,6,5.8459592,-7.611e-05
113.17508,37.82215,-352.67,814.51,64.22,888.3,-6.26,13.39,334.9492,334.9372,334.9444,6,5.84588309,4.36e-05
113.17502,37.82227,-358.92,827.89,64.23,903.07,-6.26,13.38,334.9372,334.9492,334.9469,6,5.84592669,0.0001239
113.17495,37.8224,-365.18,841.27,64.25,917.84,-6.24,13.35,334.9617,334.9492,334.954,6,5.84605059,0.00016661
113.17488,37.82252,-371.42,854.63,64.26,932.58,-6.2,13.37,335.108,334.9617,334.9636,6,5.8462172,0.00012455
113.17482,37.82264,-377.62,868,64.28,947.32,-6.24,13.33,334.9271,334.9727,334.9707,6,5.84634175,0.00012455
113.17475,37.82276,-383.86,881.33,64.29,962.04,-6.22,13.34,334.9935,334.9849,334.9778,6,5.8464663,6.451e-05
113.17468,37.82288,-390.08,894.66,64.31,976.76,-6.22,13.32,334.9727,334.9849,334.9815,6,5.84653081,2.627e-05
113.17461,37.823,-396.3,907.99,64.32,991.46,-6.22,13.33,334.9849,334.9849,334.983,6,5.84655708,-1.643e-05
113.17455,37.82313,-402.52,921.32,64.34,1006.17,-6.18,13.32,335.1004,334.9802,334.9821,6,5.84654065,-1.644e-05
113.17448,37.82325,-408.7,934.64,64.35,1020.86,-6.21,13.29,334.9556,334.9802,334.9812,6,5.84652421,5.213e-05
113.17441,37.82337,-414.91,947.93,64.37,1035.53,-6.2,13.29,334.9802,334.9802,334.9841,6,5.84657634,6.856e-05
113.17435,37.82349,-421.11,961.22,64.38,1050.19,-6.2,13.28,334.9716,334.9802,334.9881,6,5.8466449,6.856e-05
113.17428,37.82361,-427.31,974.5,64.4,1064.85,-6.18,13.26,334.9999,334.9999,334.992,6,5.84671346,0.00011209
113.17421,37.82373,-433.5,987.76,64.41,1079.48,-6.17,13.25,335.0123,334.9999,334.9984,6,5.84682555,-2.6e-06
113.17415,37.82385,-439.67,1001.01,64.43,1094.09,-6.16,13.23,335.0161,334.9999,334.9983,6,5.84682295,-7.115e-05
113.17408,37.82397,-445.84,1014.24,64.44,1108.69,-6.18,13.21,334.9213,335.0123,334.9942,6,5.8467518,-3.739e-05
113.17401,37.82409,-452.02,1027.45,64.46,1123.27,-6.16,13.21,334.9795,334.9795,334.9921,6,5.84671441,-3.739e-05
113.17395,37.82421,-458.18,1040.65,64.47,1137.85,-6.14,13.18,335.0327,334.9795,334.9899,6,5.84667702,-8.092e-05
113.17388,37.82433,-464.32,1053.83,64.49,1152.39,-6.15,13.17,334.9569,334.9892,334.9853,6,5.8465961,5.272e-05
113.17381,37.82445,-470.47,1067,64.5,1166.93,-6.14,13.17,335.0135,334.9892,334.9883,6,5.84664882,5.272e-05
113.17375,37.82457,-476.61,1080.17,64.52,1181.45,-6.13,13.13,334.9892,334.9892,334.9913,6,5.84670154,1.895e-05
113.17368,37.82469,-482.74,1093.31,64.53,1195.95,-6.14,13.14,334.9662,334.9946,334.9924,7,5.84672049,1.895e-05
113.17361,37.82481,-488.87,1106.44,64.55,1210.45,-6.13,13.14,334.9946,334.9946,334.9935,7,5.84673944,2.677e-05
113.17355,37.82493,-495,1119.58,64.56,1224.94,-6.11,13.11,335.0197,334.9946,334.995,7,5.84676621,-5.414e-05
113.17348,37.82505,-501.11,1132.69,64.58,1239.41,-6.11,13.1,334.9968,334.9946,334.9919,7,5.84671207,-5.413e-05
113.17342,37.82517,-507.22,1145.79,64.59,1253.86,-6.12,13.11,334.9791,334.9968,334.9888,7,5.84665794,-2.742e-05
113.17335,37.82529,-513.34,1158.9,64.61,1268.32,-6.11,13.07,334.958,334.9791,334.9873,7,5.84663052,-3.34e-06
113.17329,37.82541,-519.44,1171.97,64.62,1282.75,-6.1,13.09,335.0131,334.9791,334.9871,7,5.84662718,-1.117e-05
113.17322,37.82553,-525.54,1185.06,64.64,1297.19,-6.12,13.07,334.9226,334.9867,334.9864,7,5.84661601,0.00016055
113.17315,37.82565,-531.66,1198.13,64.65,1311.63,-6.1,13.07,334.9867,334.9936,334.9956,7,5.84677656,0.00016055
113.17309,37.82576,-537.76,1211.2,64.67,1326.05,-6.09,13.09,335.0418,334.9936,335.0048,7,5.84693711,0.00013383
113.17302,37.82588,-543.85,1224.29,64.68,1340.48,-6.12,13.12,334.9936,335.0251,335.0125,7,5.84707094,0.00010975
113.17296,37.826,-549.97,1237.4,64.7,1354.96,-6.12,13.14,335.036,335.0251,335.0188,7,5.84718069,6.325e-05
113.17289,37.82612,-556.09,1250.55,64.71,1369.45,-6.14,13.18,335.0251,335.0251,335.0224,7,5.84724394,-7.177e-05
113.17282,37.82624,-562.22,1263.72,64.73,1383.99,-6.17,13.2,334.9438,335.0251,335.0183,7,5.84717217,-7.176e-05
113.17276,37.82636,-568.39,1276.93,64.74,1398.56,-6.17,13.26,335.0296,335.0117,335.0142,7,5.84710041,-0.0001038
113.17269,37.82648,-574.57,1290.18,64.76,1413.19,-6.21,13.28,334.9366,335.0045,335.0082,7,5.84699661,-0.0001038
113.17262,37.8266,-580.78,1303.46,64.77,1427.84,-6.2,13.31,335.0117,335.0045,335.0023,7,5.84689281,-0.00012491
113.17256,37.82673,-586.98,1316.77,64.79,1442.52,-6.22,13.34,335.0045,334.9953,334.9951,7,5.8467679,-9.965e-05
113.17249,37.82685,-593.2,1330.11,64.8,1457.24,-6.26,13.36,334.9156,334.9953,334.9894,7,5.84666825,-3.203e-05
113.17242,37.82697,-599.45,1343.47,64.82,1472,-6.26,13.41,334.9953,334.976,334.9876,7,5.84663622,-6.763e-05
113.17235,37.82709,-605.71,1356.89,64.83,1486.8,-6.28,13.44,334.9485,334.976,334.9837,7,5.84656859,-9.4e-06
113.17229,37.82721,-611.99,1370.33,64.85,1501.64,-6.29,13.48,334.976,334.9953,334.9832,7,5.84655919,5.823e-05
113.17222,37.82734,-618.29,1383.81,64.86,1516.52,-6.3,13.52,335.0033,334.976,334.9865,7,5.84661742,5.823e-05
113.17215,37.82746,-624.59,1397.33,64.88,1531.43,-6.31,13.54,335.01,334.9926,334.9898,7,5.84667565,-7.501e-05
113.17208,37.82758,-630.9,1410.87,64.89,1546.38,-6.34,13.56,334.9482,334.9926,334.9855,7,5.84660064,5.823e-05
113.17201,37.82771,-637.24,1424.43,64.91,1561.35,-6.34,13.59,334.9926,334.9926,334.9889,7,5.84665887,3.452e-05
113.17195,37.82783,-643.58,1438.03,64.92,1576.34,-6.35,13.6,334.9738,334.9738,334.9909,7,5.84669339,3.451e-05
113.17188,37.82795,-649.93,1451.62,64.94,1591.35,-6.32,13.58,335.034,334.9926,334.9928,7,5.8467279,-5.87e-06
113.17181,37.82808,-656.25,1465.2,64.95,1606.33,-6.33,13.53,334.9298,335.0025,334.9925,7,5.84672203,5.975e-05
113.17174,37.8282,-662.58,1478.73,64.97,1621.27,-6.29,13.52,335.0297,335.0025,334.9959,7,5.84678178,-5.87e-06
113.17167,37.82832,-668.88,1492.25,64.98,1636.18,-6.28,13.48,335.0025,334.991,334.9956,7,5.84677591,-0.00010497
113.17161,37.82845,-675.16,1505.73,65,1651.05,-6.28,13.45,334.9631,334.991,334.9896,7,5.84667094,-0.00010497
113.17154,37.82857,-681.44,1519.18,65.01,1665.9,-6.27,13.43,334.991,334.991,334.9836,7,5.84656597,-6.457e-05
113.17147,37.82869,-687.71,1532.61,65.03,1680.72,-6.26,13.4,334.9496,334.9725,334.9799,7,5.8465014,6.992e-05
113.1714,37.82881,-693.97,1546.01,65.04,1695.51,-6.23,13.4,335.0609,334.9725,334.9839,7,5.84657132,-8.7e-06
113.17133,37.82894,-700.2,1559.41,65.06,1710.29,-6.25,13.38,334.9725,334.9725,334.9834,7,5.84656262,5.588e-05
113.17127,37.82906,-706.45,1572.79,65.07,1725.05,-6.24,13.36,334.9709,335.011,334.9866,7,5.8466185,0.00013451
113.1712,37.82918,-712.69,1586.15,65.09,1739.79,-6.23,13.36,335.011,334.9885,334.9943,7,5.84675301,5.588e-05
113.17113,37.8293,-718.92,1599.51,65.1,1754.54,-6.2,13.37,335.1207,334.9885,334.9975,7,5.84680889,-7.863e-05
113.17107,37.82942,-725.12,1612.89,65.12,1769.28,-6.24,13.37,334.9885,335.011,334.993,7,5.84673026,6.26e-06
113.171,37.82954,-731.36,1626.26,65.13,1784.03,-6.26,13.37,334.9207,334.9885,334.9933,7,5.84673652,6.26e-06
113.17093,37.82967,-737.61,1639.62,65.15,1798.79,-6.23,13.38,335.0407,334.9885,334.9937,7,5.84674278,-9.019e-05
113.17086,37.82979,-743.84,1653.01,65.16,1813.55,-6.26,13.37,334.8931,334.9903,334.9885,7,5.84665259,6.25e-06
113.1708,37.82991,-750.1,1666.37,65.18,1828.32,-6.23,13.4,335.0719,334.9903,334.9889,7,5.84665884,-1.156e-05
113.17073,37.83003,-756.33,1679.78,65.19,1843.1,-6.26,13.41,334.9903,334.9851,334.9882,7,5.84664728,-1.783e-05
113.17066,37.83015,-762.59,1693.19,65.21,1857.89,-6.26,13.41,334.9851,334.9903,334.9872,7,5.84662945,4.193e-05
113.17059,37.83028,-768.85,1706.59,65.22,1872.69,-6.27,13.43,334.9539,334.9851,334.9896,7,5.84667138,5.975e-05
113.17053,37.8304,-775.12,1720.02,65.24,1887.51,-6.26,13.44,335.0318,334.9851,334.993,7,5.84673113,2.364e-05
113.17046,37.83052,-781.38,1733.46,65.25,1902.33,-6.27,13.44,334.9696,335.0023,334.9944,7,5.84675477,4.147e-05
113.17039,37.83064,-787.65,1746.89,65.27,1917.16,-6.27,13.47,335.0506,335.0023,334.9967,7,5.84679624,-3.081e-05
113.17032,37.83076,-793.92,1760.36,65.28,1932.01,-6.28,13.48,335.0023,334.997,334.995,7,5.84676543,-0.00011464
113.17026,37.83089,-800.2,1773.84,65.3,1946.88,-6.29,13.49,334.997,334.997,334.9884,7,5.84665079,-0.00011464
113.17019,37.83101,-806.49,1787.33,65.31,1961.77,-6.31,13.51,334.9677,334.9763,334.9818,7,5.84653615,-9.07e-05
113.17012,37.83113,-812.8,1800.85,65.33,1976.69,-6.31,13.52,334.9763,334.9694,334.9766,7,5.84644545,-9.071e-05
113.17005,37.83126,-819.12,1814.37,65.34,1991.61,-6.32,13.54,334.9694,334.9694,334.9715,7,5.84635474,-1.281e-05
113.16998,37.83138,-825.44,1827.9,65.36,2006.55,-6.33,13.55,334.9694,334.971,334.9707,7,5.84634193,1.127e-05
113.16992,37.8315,-831.77,1841.46,65.37,2021.51,-6.34,13.58,334.971,334.971,334.9714,7,5.8463532,1.127e-05
113.16985,37.83163,-838.1,1855.03,65.39,2036.49,-6.33,13.59,335.0292,334.9727,334.972,7,5.84636447,5.62e-06
113.16978,37.83175,-844.44,1868.63,65.4,2051.48,-6.36,13.62,334.9727,334.9727,334.9723,7,5.84637009,4.111e-05
113.16971,37.83187,-850.79,1882.24,65.42,2066.51,-6.35,13.63,335.0205,334.9727,334.9747,7,5.8464112,3.548e-05
113.16964,37.832,-857.14,1895.87,65.43,2081.55,-6.38,13.65,334.9607,334.9727,334.9767,7,5.84644668,3.548e-05
113.16957,37.83212,-863.52,1909.52,65.45,2096.61,-6.38,13.64,334.9557,334.9828,334.9788,7,5.84648216,0.00011246
113.1695,37.83225,-869.89,1923.16,65.46,2111.67,-6.37,13.67,335.0203,334.9828,334.9852,7,5.84659462,0.00011246
113.16944,37.83237,-876.26,1936.83,65.48,2126.75,-6.39,13.68,334.9828,334.9828,334.9916,7,5.84670708,7.698e-05
113.16937,37.8325,-882.65,1950.51,65.49,2141.85,-6.39,13.7,335.0049,335.0049,334.9961,8,5.84678406,7.597e-05
113.1693,37.83262,-889.03,1964.21,65.51,2156.96,-6.43,13.7,334.8641,335.0049,335.0004,8,5.84686003,7.596e-05
113.16923,37.83275,-895.46,1977.91,65.52,2172.1,-6.4,13.73,335.0318,335.0049,335.0048,8,5.84693599,-3.087e-05
113.16916,37.83287,-901.86,1991.65,65.54,2187.25,-6.4,13.74,335.0149,335.0046,335.003,8,5.84690512,-0.00014204
113.16909,37.833,-908.26,2005.39,65.55,2202.41,-6.43,13.75,334.932,335.0046,334.9948,8,5.84676308,-3.087e-05
113.16902,37.83312,-914.69,2019.14,65.57,2217.59,-6.42,13.78,335.0046,334.996,334.9931,8,5.84673221,-2.987e-05
113.16895,37.83325,-921.11,2032.91,65.58,2232.79,-6.43,13.77,334.9642,334.9642,334.9914,8,5.84670234,-2.986e-05
113.16888,37.83337,-927.54,2046.68,65.6,2247.98,-6.44,13.81,334.996,334.996,334.9897,8,5.84667248,-5.3e-07
113.16881,37.8335,-933.99,2060.49,65.61,2263.22,-6.46,13.82,334.9439,334.996,334.9896,8,5.84667195,0.00011064
113.16874,37.83362,-940.44,2074.31,65.63,2278.47,-6.45,13.83,335.0027,334.996,334.996,8,5.84678259,-4.735e-05
113.16867,37.83375,-946.89,2088.14,65.64,2293.74,-6.46,13.87,335.0327,334.9959,334.9933,8,5.84673524,-4.735e-05
113.1686,37.83388,-953.35,2102.02,65.66,2309.04,-6.47,13.87,334.9959,334.9959,334.9905,8,5.84668789,-4.735e-05
113.16853,37.834,-959.82,2115.89,65.67,2324.34,-6.48,13.88,334.9825,334.9825,334.9878,8,5.84664054,-7.624e-05
113.16846,37.83413,-966.3,2129.77,65.69,2339.66,-6.49,13.89,334.9691,334.9825,334.9835,8,5.8465643,3.336e-05
113.16839,37.83425,-972.79,2143.66,65.7,2354.99,-6.5,13.91,334.974,334.9825,334.9854,8,5.84659766,0.00022525
113.16832,37.83438,-979.28,2157.57,65.72,2370.35,-6.48,13.93,335.0592,334.974,334.9983,8,5.84682291,8.017e-05
113.16825,37.83451,-985.76,2171.5,65.73,2385.71,-6.49,13.95,335.0607,335.0054,335.0029,8,5.84690308,8.018e-05
113.16818,37.83463,-992.25,2185.46,65.75,2401.1,-6.52,13.97,334.9739,335.047,335.0075,8,5.84698326,0.0001096
113.16811,37.83476,-998.77,2199.43,65.76,2416.52,-6.52,13.99,335.0054,335.0054,335.0137,8,5.84709286,-2.885e-05
113.16804,37.83489,-1005.3,2213.42,65.78,2431.96,-6.52,14,335.047,335.0054,335.0121,8,5.84706401,-0.00017392
113.16797,37.83502,-1011.81,2227.43,65.79,2447.41,-6.53,14.01,334.9972,335.0054,335.0021,8,5.84689009,-0.00010996
113.1679,37.83514,-1018.35,2241.44,65.81,2462.86,-6.53,14.02,335.017,334.9972,334.9958,8,5.84678013,-0.00011009
113.16783,37.83527,-1024.88,2255.46,65.82,2478.33,-6.56,14.03,334.9458,334.9972,334.9895,8,5.84667004,-0.0001101
113.16776,37.8354,-1031.44,2269.49,65.84,2493.82,-6.57,14.04,334.9326,334.9739,334.9832,8,5.84655994,-8.123e-05
113.16769,37.83553,-1038.01,2283.54,65.85,2509.33,-6.54,14.07,335.0566,334.9739,334.9786,8,5.84647871,-8.124e-05
113.16762,37.83566,-1044.55,2297.6,65.87,2524.85,-6.57,14.07,334.9739,334.9739,334.9739,8,5.84639747,-2.282e-05
113.16755,37.83578,-1051.12,2311.68,65.88,2540.38,-6.58,14.09,334.9739,334.9739,334.9726,8,5.84637465,-2.269e-05
113.16748,37.83591,-1057.7,2325.77,65.9,2555.93,-6.58,14.09,334.9674,334.9739,334.9713,8,5.84635196,-3.73e-06
113.16741,37.83604,-1064.28,2339.86,65.91,2571.48,-6.6,14.08,334.8999,334.9674,334.9711,8,5.84634823,0.00011076
113.16734,37.83617,-1070.88,2353.94,65.93,2587.03,-6.57,14.1,335.017,334.9674,334.9774,8,5.84645899,-3.74e-06
113.16726,37.8363,-1077.45,2368.04,65.94,2602.58,-6.6,14.09,334.9115,334.9728,334.9772,8,5.84645525,1.896e-05
113.16719,37.83643,-1084.04,2382.13,65.96,2618.14,-6.57,14.09,335.0056,335.0056,334.9783,8,5.84647421,1.895e-05
113.16712,37.83655,-1090.61,2396.22,65.97,2633.69,-6.57,14.07,334.9728,334.9728,334.9794,8,5.84649316,0.0001468
113.16705,37.83668,-1097.18,2410.3,65.99,2649.22,-6.54,14.05,335.0293,334.9728,334.9878,8,5.84663996,-0.00011708
113.16698,37.83681,-1103.73,2424.34,66,2664.72,-6.55,14.02,334.9484,334.9728,334.9811,8,5.84652288,6.269e-05
113.16691,37.83694,-1110.28,2438.36,66.02,2680.19,-6.51,13.95,334.9721,335.0149,334.9847,8,5.84658557,6.27e-05
113.16684,37.83706,-1116.79,2452.31,66.03,2695.59,-6.46,13.92,335.0961,334.9721,334.9883,8,5.84664827,6.269e-05
113.16677,37.83719,-1123.25,2466.23,66.05,2710.93,-6.45,13.84,335.0149,334.9908,334.9919,8,5.84671096,-8.411e-05
113.1667,37.83732,-1129.7,2480.07,66.06,2726.2,-6.46,13.77,334.8839,334.9908,334.987,8,5.84662685,6.528e-05
113.16663,37.83744,-1136.16,2493.84,66.08,2741.41,-6.39,13.71,334.9908,334.9908,334.9908,8,5.84669213,1.544e-05
113.16656,37.83757,-1142.55,2507.55,66.09,2756.54,-6.37,13.65,334.9691,334.9908,334.9917,8,5.84670757,1.544e-05
113.16649,37.83769,-1148.93,2521.2,66.11,2771.6,-6.34,13.59,335.0003,334.9908,334.9926,8,5.84672301,1.543e-05
113.16642,37.83782,-1155.27,2534.79,66.12,2786.6,-6.3,13.51,335.001,334.9952,334.9934,8,5.84673844,1.544e-05
113.16636,37.83794,-1161.57,2548.31,66.14,2801.51,-6.28,13.46,334.9722,334.9952,334.9943,8,5.84675388,1.544e-05
113.16629,37.83806,-1167.85,2561.76,66.15,2816.36,-6.25,13.39,334.9952,334.9952,334.9952,8,5.84676932,-1.028e-05
113.16622,37.83818,-1174.1,2575.15,66.17,2831.14,-6.22,13.33,334.9923,334.9952,334.9946,8,5.84675904,-7.39e-05
113.16615,37.8383,-1180.31,2588.48,66.18,2845.84,-6.19,13.28,335.0015,334.9952,334.9904,8,5.84668514,-0.00010361
113.16609,37.83842,-1186.5,2601.76,66.2,2860.49,-6.18,13.26,335.0122,334.9923,334.9844,8,5.84658153,-0.00010362
113.16602,37.83855,-1192.68,2615.02,66.21,2875.12,-6.2,13.23,334.8966,334.974,334.9785,8,5.84647791,-7.39e-05
113.16595,37.83867,-1198.88,2628.25,66.23,2889.73,-6.17,13.22,334.974,334.9655,334.9743,8,5.84640401,-7.46e-05
113.16589,37.83879,-1205.05,2641.46,66.24,2904.32,-6.18,13.19,334.9056,334.9655,334.97,8,5.84632941,-1.098e-05
113.16582,37.83891,-1211.23,2654.66,66.26,2918.89,-6.16,13.19,334.9655,334.974,334.9694,8,5.84631843,7.426e-05
113.16575,37.83903,-1217.39,2667.85,66.27,2933.45,-6.15,13.19,334.9956,334.9709,334.9736,8,5.84639269,7.426e-05
113.16569,37.83915,-1223.55,2681.04,66.29,2948,-6.15,13.21,335.0219,334.9709,334.9779,8,5.84646695,-1.098e-05
113.16562,37.83927,-1229.7,2694.25,66.3,2962.58,-6.17,13.22,334.9709,334.9868,334.9773,8,5.84645597,5.553e-05
113.16555,37.83939,-1235.87,2707.47,66.32,2977.16,-6.19,13.21,334.8989,334.9868,334.9804,8,5.8465115,0.00012353
113.16549,37.83951,-1242.06,2720.68,66.33,2991.75,-6.17,13.23,334.9868,334.9709,334.9875,8,5.84663503,6.8e-05
113.16542,37.83963,-1248.23,2733.9,66.35,3006.34,-6.16,13.22,335.0063,334.9868,334.9914,8,5.84670303,-7.726e-05
113.16535,37.83975,-1254.39,2747.12,66.36,3020.93,-6.18,13.22,334.9535,335.0063,334.987,8,5.84662577,-8.82e-06
113.16529,37.83987,-1260.57,2760.35,66.38,3035.52,-6.15,13.21,335.0189,335.0063,334.9865,8,5.84661695,-6.434e-05
113.16522,37.83999,-1266.72,2773.55,66.39,3050.09,-6.14,13.19,335.0226,334.9647,334.9828,8,5.84655261,-0.00014526
113.16516,37.84011,-1272.87,2786.74,66.41,3064.64,-6.16,13.19,334.9557,334.9684,334.9745,8,5.84640735,-0.00013235
